item	file_sg	option	category	c1	c2	c3	opt1	opt2	opt3
sdb	Distractor\sdb.mp3	D	Distractor	Fricative	stop	stop	DistractorChoice\sdb.mp3	DistractorChoiceD\sadb.mp3	DistractorChoiceVoicing\pts.mp3	
srm	Distractor\srm.mp3	D	Distractor	Fricative	liquid	nasal	DistractorChoice\srm.mp3	DistractorChoiceD\sarm.mp3	DistractorChoiceVoicing\pns.mp3	
snl	Distractor\snl.mp3	D	Distractor	Fricative	nasal	liquid	DistractorChoice\snl.mp3	DistractorChoiceD\sanl.mp3	DistractorChoiceVoicing\pSk.mp3	
syk	Distractor\syk.mp3	D	Distractor	Fricative	glide	stop	DistractorChoice\syk.mp3	DistractorChoiceD\sayk.mp3	DistractorChoiceVoicing\prs.mp3	
stk	Distractor\stk.mp3	D	Distractor	Fricative	stop	stop	DistractorChoice\stk.mp3	DistractorChoiceD\satk.mp3	DistractorChoiceVoicing\pwn.mp3	
bts	Distractor\bts.mp3	D	Distractor	stop	stop	Fricative	DistractorChoice\bts.mp3	DistractorChoiceD\bats.mp3	DistractorChoiceVoicing\gbn.mp3	
bns	Distractor\bns.mp3	D	Distractor	stop	nasal	Fricative	DistractorChoice\bns.mp3	DistractorChoiceD\bans.mp3	DistractorChoiceVoicing\gms.mp3	
bSk	Distractor\bSk.mp3	D	Distractor	stop	Fricative	stop	DistractorChoice\bSk.mp3	DistractorChoiceD\baSk.mp3	DistractorChoiceVoicing\gsm.mp3	
brs	Distractor\brs.mp3	D	Distractor	stop	liquid	Fricative	DistractorChoice\brs.mp3	DistractorChoiceD\bars.mp3	DistractorChoiceVoicing\gmy.mp3	
bwn	Distractor\bwn.mp3	D	Distractor	stop	glide	nasal	DistractorChoice\bwn.mp3	DistractorChoiceD\bawn.mp3	DistractorChoiceVoicing\glS.mp3	
tlk	Distractor\tlk.mp3	D	Distractor	stop	liquid	stop	DistractorChoice\tlk.mp3	DistractorChoiceD\talk.mp3	DistractorChoiceVoicing\dlk.mp3	
tml	Distractor\tml.mp3	D	Distractor	stop	nasal	liquid	DistractorChoice\tml.mp3	DistractorChoiceD\taml.mp3	DistractorChoiceVoicing\dml.mp3	
tsk	Distractor\tsk.mp3	D	Distractor	stop	Fricative	stop	DistractorChoice\tsk.mp3	DistractorChoiceD\task.mp3	DistractorChoiceVoicing\dsk.mp3	
